22968,45.022647,39.041195,"350059, Россия, Краснодарский край, г. Краснодар, ул.Селезнева, д.88/1 кв. 128 А","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
24744,45.132350,38.936093,"350059, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Героя Аверкиева А.А., д. 18","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
25344,45.018251,38.994815,"350033, Россия, Краснодарский край, г. Краснодар, Центральный округ, ул. Ставропольская, 80","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
27768,45.056696,39.013500,"350029, Краснодарский край, г. Краснодар, Прикубанский административный округ, ул. 40 лет Победы, д. 39","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
29268,45.029209,38.913374,"350089, Россия, Краснодарский край, г. Краснодар, проспект Чекистов, д. 24/1, кв. 181-182.","\u042e\u0431\u0438\u043b\u0435\u0439\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
30360,45.026259,39.034269,"350075, Краснодарский край, г. Краснодар, ул.Лермонтова, д. 1","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0425\u043b\u043e\u043f\u0447\u0430\u0442\u043e-\u0431\u0443\u043c\u0430\u0436\u043d\u044b\u0439 \u041a\u043e\u043c\u0431\u0438\u043d\u0430\u0442, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
30468,45.021195,39.086282,"350063, Россия, Краснодарский край, г. Краснодар, ул. Кубанская, дом 47, кв.303","\u041f\u0430\u0448\u043a\u043e\u0432\u0441\u043a\u0438\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
34728,45.053901,39.008290,"350072, Краснодарский край, г. Краснодар, Прикубанский округ, ул. Армавирская, 60","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u041a\u0440\u0430\u0435\u0432\u0430\u044f \u041a\u043b\u0438\u043d\u0438\u0447\u0435\u0441\u043a\u0430\u044f \u0411\u043e\u043b\u044c\u043d\u0438\u0446\u0430, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
34956,45.024832,39.065872,"350018, Краснодарский край, г. Краснодар, ул.Сормовская, д. 9, кв. 24","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
40200,45.092990,39.016950,"350087, Россия, Краснодарский край, г. Краснодар, бульвар Интернациональный, д. 66","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0417\u0430\u0432\u043e\u0434 \u0420\u0430\u0434\u0438\u043e\u0438\u0437\u043c\u0435\u0440\u0438\u0442\u0435\u043b\u044c\u043d\u044b\u0445 \u041f\u0440\u0438\u0431\u043e\u0440\u043e\u0432, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
